data,produto_id,categoria,quantidade_vendida,preco_unitario,promocao,temperatura_media,humidade_media,dia_da_semana,feedback_cliente  
2025-01-01,101,Roupas,20,50.00,Sim,30.0,60.0,Quarta,5  
2025-01-01,102,Eletrônicos,15,1000.00,Não,30.0,55.0,Quarta,4  
2025-01-02,101,Roupas,18,50.00,Não,28.0,65.0,Quinta,5  
2025-01-02,103,Utensílios,30,20.00,Sim,25.0,70.0,Sexta,3  
2025-01-03,104,Roupas,50,50.00,Não,26.0,68.0,Sábado,4  
2025-01-03,105,Eletrônicos,5,800.00,Sim,29.0,72.0,Domingo,2  
2025-01-04,102,Roupas,12,55.00,Não,22.0,66.0,Segunda,4  
2025-01-04,106,Utensílios,28,15.00,Sim,24.0,64.0,Terça,3  
2025-01-05,107,Eletrônicos,7,1200.00,Não,21.0,59.0,Quarta,5  
2025-01-05,105,Roupas,24,60.00,Sim,23.0,60.0,Quinta,4  
2025-01-06,108,Roupas,15,45.00,Sim,28.0,65.0,Sexta,3  
2025-01-06,109,Utensílios,22,30.00,Não,27.0,67.0,Sábado,4  
2025-01-07,110,Eletrônicos,10,950.00,Sim,25.0,55.0,Domingo,5  
2025-01-07,111,Roupas,18,50.00,Não,29.0,66.0,Segunda,3  
2025-01-08,112,Utensílios,30,20.00,Sim,30.0,60.0,Terça,4  
2025-01-08,113,Roupas,23,55.00,Não,31.0,59.0,Quarta,5  
2025-01-09,114,Eletrônicos,8,850.00,Sim,27.0,62.0,Quinta,3  
2025-01-09,115,Roupas,20,54.00,Não,26.0,65.0,Sexta,4  
2025-01-10,116,Utensílios,15,14.00,Sim,22.0,68.0,Sábado,5  
2025-01-10,117,Eletrônicos,12,920.00,Não,21.0,70.0,Domingo,3  
2025-01-11,118,Roupas,5,45.00,Sim,24.0,64.0,Segunda,4  
2025-01-11,119,Utensílios,18,28.00,Não,26.0,62.0,Terça,5  
2025-01-12,120,Eletrônicos,14,1150.00,Sim,27.0,66.0,Quarta,3  
2025-01-12,121,Roupas,21,52.00,Não,29.0,68.0,Quinta,4  
2025-01-13,122,Utensílios,30,19.00,Sim,28.0,70.0,Sexta,5  
2025-01-13,123,Eletrônicos,11,870.00,Não,24.0,61.0,Sábado,2  
2025-01-14,124,Roupas,15,53.00,Sim,23.0,66.0,Domingo,4  
2025-01-14,125,Utensílios,20,25.00,Não,22.0,62.0,Segunda,5  
2025-01-15,126,Eletrônicos,6,890.00,Sim,30.0,64.0,Terça,3  
2025-01-15,127,Roupas,18,48.00,Não,27.0,65.0,Quarta,4  
2025-01-16,128,Utensílios,35,30.00,Sim,26.0,68.0,Quinta,5  
2025-01-16,129,Eletrônicos,9,930.00,Não,25.0,60.0,Sexta,3  
2025-01-17,130,Roupas,17,56.00,Sim,24.0,62.0,Sábado,5  
2025-01-17,131,Utensílios,28,22.00,Sim,23.0,61.0,Domingo,4  
2025-01-18,132,Eletrônicos,4,980.00,Não,26.0,65.0,Segunda,3  
2025-01-18,133,Roupas,22,51.00,Sim,30.0,66.0,Terça,5  
2025-01-19,134,Utensílios,40,17.00,Não,29.0,70.0,Quarta,4  
2025-01-19,135,Eletrônicos,7,1120.00,Sim,22.0,58.0,Quinta,3  
2025-01-20,136,Roupas,12,49.00,Não,31.0,64.0,Sexta,5  
2025-01-20,137,Utensílios,18,14.00,Sim,28.0,62.0,Sábado,2  
2025-01-21,138,Eletrônicos,13,1150.00,Não,25.0,65.0,Domingo,3  
2025-01-21,139,Roupas,24,55.00,Sim,30.0,67.0,Segunda,4  
2025-01-22,140,Utensílios,35,20.00,Não,29.0,68.0,Terça,5  
2025-01-22,141,Eletrônicos,10,950.00,Sim,24.0,60.0,Quarta,3  
2025-01-23,142,Roupas,15,52.00,Não,23.0,62.0,Quinta,5  
2025-01-23,143,Utensílios,25,27.00,Sim,28.0,65.0,Sexta,4  
2025-01-24,144,Eletrônicos,20,1050.00,Não,26.0,63.0,Sábado,3  
2025-01-24,145,Roupas,18,55.00,Sim,27.0,64.0,Domingo,5  
2025-01-25,146,Utensílios,12,18.00,Não,24.0,61.0,Segunda,4  
2025-01-25,147,Eletrônicos,8,910.00,Sim,30.0,67.0,Terça,3  
2025-01-26,148,Roupas,19,54.00,Não,29.0,62.0,Quarta,4  
2025-01-26,149,Utensílios,30,20.00,Sim,28.0,63.0,Quinta,5  
2025-01-27,150,Eletrônicos,15,1100.00,Não,30.0,65.0,Sexta,3  
2025-01-27,151,Roupas,14,50.00,Sim,29.0,66.0,Sábado,4  
2025-01-28,152,Utensílios,30,22.00,Não,22.0,60.0,Domingo,3  
2025-01-28,153,Eletrônicos,6,870.00,Sim,30.0,61.0,Segunda,5  
2025-01-29,154,Roupas,13,56.00,Não,28.0,65.0,Terça,4  
2025-01-29,155,Utensílios,25,15.00,Sim,29.0,68.0,Quarta,3  
2025-01-30,156,Eletrônicos,11,990.00,Não,24.0,60.0,Quinta,5  
